year,advertiser_id,advertiser_name
2000,941,Quad City Bank & Trust Co
2000,1167,Valley Bank
2000,428,First Bank & Trust
2000,292,Community Bank & Trust
2000,783,Monarch Bank
2000,140,Bank OZK
2000,385,Exchange Bank
2000,757,Merchants & Planters Bank
2000,69,Amalgamated Bank
2000,656,Kentucky Bank
2000,1048,Southwest Bank
2000,1197,Washington Trust Bank
2000,416,Farmers Bank
2000,677,Lake Area Bank
2000,745,Mechanics Bank
2000,185,Brotherhood Bank & Trust
2000,626,Independent Bank
2000,124,BNP Paribas
2000,1144,Union State Bank
2000,1042,Southeastern Bank Financial Corp
2000,828,New Windsor State Bank
2000,156,BankPlus
2000,60,Allegheny Valley Bancorp Inc
2000,142,Bank Of Botetourt
2000,690,Layton State Bank
2000,434,First Commonwealth Financial Corp
2000,492,Fulton Financial Corp
2000,263,Citizens & Northern Corp
2000,528,Great Western Bancorp Inc
2000,896,Palmetto Bank
2000,571,Harvard State Bank
2000,1210,Western State Bank
2000,1153,United Southern Bank
2000,363,Eagle Bank
2000,976,Rockland Trust Co
2000,692,Lendmark Financial Services Llc
2000,769,Mid Penn Bancorp Inc
2000,387,F&M Bancorp
2000,466,First State Bank & Trust
2000,1209,Western Bank Corp Inc
2000,1060,State Bank
2000,919,Pioneer Bank
2000,983,S&T Bancorp Inc
2000,248,Century Bank
2000,1046,Southside Bank
2000,14,ABC Bank
2000,152,Bank Orion
2000,135,BancorpSouth Inc
2000,935,Provident Savings Bank
2000,786,Monroe Bank & Trust
2000,237,Carrollton Bancorp
2000,898,Park Bank
2000,678,Lake City Bank
2000,1145,United Bank & Trust
2000,606,Horizon Bank
2000,537,Guaranty Bank & Trust Co
2000,1040,South Shore Bank
2000,238,Carter County Bank
2000,531,Greenpoint Financial Corp
2000,1135,Ulster Savings Bank
2000,829,New York Community Bancorp Inc
2000,968,Ridgewood Savings Bank
2000,1199,Waukesha State Bank
2000,614,IAB Financial Bank
2000,646,Jefferson Bank
2000,763,Metairie Bank & Trust Co
2000,1058,Standard Bank & Trust Co
2000,1106,Torrington Savings Bank
2000,837,Northeast Bank
2000,641,Itasca Bank & Trust Co
2000,830,NewBridge Bancorp
2000,153,Bank of Glen Burnie
2000,932,Prosperity Bancshares Inc
2000,426,First American Bank Corp
2000,332,Delaware County Bank & Trust Cs
2000,265,Citizens Financial Group Inc
2000,1136,Umpqua Holdings Corp
2000,245,Central Pacific Bank
2000,192,CENTRAL PACIFIC CO
2000,429,First Bank Of Highland Park
2000,746,Mechanics Savings Bank
2000,1016,Scb Bancorp Inc
2000,846,Norway Savings Bank
2000,1095,Terre Haute Savings Bank
2000,1007,Saco & Biddeford Savings Institution
2000,523,Gorham Savings Bank
2000,160,Bath Savings Institution
2000,91,Androscoggin Bank
2000,184,Brookline Bancorp Inc
2000,221,Cambridge Savings Bank
2000,1029,Skagit State Bank
2000,270,City Bank
2000,154,Bank of Newport
2000,1143,Union Savings Bank
2000,832,Newtown Savings Bank
2000,977,Rockville Bank
2000,408,Fairfield County Bank
2000,603,Hometown Bank
2000,256,Chelsea Groton Bank
2000,1099,Thomaston Savings Bank
2000,136,Bangor Savings Bank
2000,1107,Town & Country Bank
2000,1206,West Suburban Bank
2000,461,First Service Bank
2000,468,Firstbank Holding Co Of CO
2000,969,River City Bank
2000,226,Capital Bank
2000,488,Fremont Bank
2000,433,First Citizens Bancorp Inc
2000,960,Republic Bancorp Mtg Inc
2000,1038,South Central Bank
2000,684,Lakeside Bancorp
2000,637,Intl Bank Of Commerce
2000,682,Lakeland Bancorp Inc
2000,711,MARKET STREET MORTGAGE CORP
2000,581,Heritage Community Bank
2000,186,Brunswick Bank & Trust
2000,859,Oak Bank
2000,737,Marine Bank
2000,134,Banco Santander Central Hispano Sa
2000,1064,Sterling Bancorp
2000,930,Progressive Bank
2000,587,Hillcrest Bank
2000,288,Commerce Bank
2000,67,Alpine Bank
2000,472,Florence Savings Bank
2000,1010,Salem Five Cents Savings Bank
2000,331,Dedham Institution For Savings
2000,961,Republic Bank & Trust Co
2000,171,Belmont Savings Bank
2000,872,OneUnited Bank
2000,841,Northwest Bancshares Inc
2000,842,Northwest Bank
2000,861,Ocean Bank
2000,489,Fremont General Corp
2000,490,Fremont Investment & Loan
2000,306,Cornerstone Bank NA
2000,1077,Synovus Financial Corp
2000,109,Atlantic Stewardship Bank
2000,835,North Shore Bank
2000,748,Melrose Cooperative Bank
2000,175,Beverly Cooperative Bank
2000,954,Reading Cooperative Bank
2000,470,Firstrust Bank
2000,236,Carolina First Corp
2000,972,Riverside Bank
2000,1215,Wilson Bank & Trust
2000,915,Peoples United Financial Inc
2000,867,Omni Bank
2000,68,Altoona First Savings Bank
2000,1108,Towne Bank
2000,562,Haddon Savings Bank
2000,268,Citizens Savings Bank
2000,1102,Timberland Bancorp Inc
2000,158,Banner Bank
2000,980,Roselle Savings Bank
2000,839,Northfield Savings Bank
2000,517,Glen Rock Savings Bank
2000,1024,Sharon Savings Bank
2000,1149,United Savings Bank
2000,297,Community Savings Bank
2000,639,Investors Savings Bank
2000,619,INVESTORS BANK CORP
2000,940,PyraMax Bank
2000,527,Great Southern Bancorp Inc
2000,526,Great Midwest Bank
2000,701,Lisle Savings Bank
2000,807,NVE Bancorp
2000,179,Bogota Savings Bank
2000,538,Guaranty Federal Savings
2000,989,SHELTER MORTGAGE CO
2000,180,Boiling Springs Savings Bank Inc
2000,460,First Savings Bank
2000,736,Manasquan Savings Bank
2000,734,Magyar Bancorp
2000,366,East West Bancorp
2000,347,Doral Bank
2000,715,MERCANTILE BANK CORP
2000,602,Homestreet Inc
2000,241,Centennial Bank
2000,367,Eastern Bank
2000,542,Gulf Coast Bank & Trust Co
2000,266,Citizens First Bank
2000,1178,Village Bank
2000,790,Mountain West Bank
2000,161,Bay Bank
2000,77,American Enterprise Bank
2000,1043,Southern Community Bank & Trust
2000,302,Conseco Finance Corp
2000,446,First Internet Bancorp
2000,733,Macatawa Bank Corp
2000,1110,TowneBank
2000,958,Reliance Bank
2000,959,Renasant Corp
2000,613,Hyde Park Savings Bank
2000,183,Bridgewater Savings Bank
2000,365,East Cambridge Savings Bank
2000,274,Clinton Savings Bank
2000,775,Middlesex Savings Bank
2000,705,Lowell Five Cent Savings Bank
2000,630,Institution For Savings
2000,952,Randolph Savings Bank
2000,1052,Spencer Savings Bank
2000,1068,Stoneham Savings Bank
2000,1041,South Shore Savings Bank
2000,917,Piedmont Federal Savings Bank
2000,591,Home Federal Bank
2000,1141,Union Federal Savings & Loan Assn
2000,612,Huntington Federal
2000,193,CHEVIOT SAVINGS BANK
2000,234,Capitol Federal Financial Inc
2000,540,Guardian Savings
2000,1195,Washington Federal Inc
2000,590,Home Bank
2000,594,Home Savings & Loan Co
2000,696,Liberty Federal
2000,169,Bell Federal S&l Assn
2000,568,Harrington Bank
2000,442,First Federal Savings & Loan
2000,767,Mid America Bancorp
2000,259,Chesapeake Bank Of MD
2000,71,Ambler Savings Bank
2000,651,Kearny Financial Corp
2000,1035,Somerset Savings Bank
2000,155,BankFinancial FSB
2000,283,Columbia Bank
2000,1097,Third Federal Bank
2000,1101,Tierone Bank
2000,167,Bedford Federal Savings Bank
2000,1147,United Fidelity Bank
2000,979,Rosedale Federal Savings & Loan Assn
2000,1216,Windsor Federal Savings
2000,252,Charleroi Federal Savings Bank
2000,833,North American Savings Bank
2000,629,Indymac Federal Bank
2000,418,Federal Savings Bank
2000,439,First Federal Bank
2000,973,Riverview Community Bank
2000,936,Prudential Financial Inc
2000,1098,Third Federal Savings & Loan
2000,978,Roma Bank
2000,573,Hatboro Federal Savings
2000,239,Carver Federal Savings Bank
2000,510,Geddes Federal Savings & Loan Assn
2000,610,Huntingdon Valley Bank
2000,680,Lake Shore Savings Inc
2000,159,Barclays Plc
2000,372,El Dorado Savings Bank
2000,349,Downey S&L Assn
2000,281,Colonial Savings FA
2000,634,Interamerican Bank
2000,1031,Slovenian Savings & Loan
2000,1138,UniBank
2000,19,ACTION MORTGAGE
2000,1193,WSFS Financial Corp
2000,706,Luther Burbank Savings
2000,1150,United Services Automobile Assn
2000,1066,Sterling Bank & Trust Fsb
2000,345,Dollar Bank
2000,157,BankUnited Inc
2000,827,New South Federal Savings Bank
2000,793,Mutual Of Omaha Insurance Co
2000,928,Presidential Bank
2000,471,Flagstar Bancorp Inc
2000,503,GREATER ATLANTIC MORTGAGE CORP
2000,1140,Union Federal Bank
2000,484,Franklin Savings Bank FSB
2000,953,Raymond James Financial Inc
2000,491,Frontier Bank
2000,521,Golden West Financial Corp
2000,1200,Webster Bank
2000,597,HomeTrust Banking Partnership
2000,346,Domestic Bank
2000,772,MidFirst Bank
2000,1063,Staten Island Savngs Bank
2000,585,Hickory Point Bank & Trust
2000,139,Bank Mutual
2000,247,Centris Federal Credit Union
2000,222,Campus Federal Credit Union
2000,76,American Eagle Federal Credit Union
2000,427,First Atlantic Federal Credit Union
2000,1114,Tropical Financial Credit Union
2000,506,GTE Financial
2000,905,Pentagon Federal Credit Union
2000,645,Jax Federal Credit Union
2000,213,CREDIT UNION MORTGAGE
2000,120,BFG Federal Credit Union
2000,1164,Utah First Federal Credit Union
2000,667,LBS Financial Credit Union
2000,55,Affinity Federal Credit Union
2000,1059,Star USA Federal Credit Union
2000,970,River City Federal Credit Union
2000,825,New Mexico Educators Federal Credit Union
2000,834,North Jersey Federal Credit Union
2000,1037,South Carolina Federal Credit Union
2000,276,Coastline Federal Credit Union
2000,122,BMI Federal Credit Union
2000,689,Langley Federal Credit Union
2000,904,Pen Air Federal Credit Union
2000,1159,University Federal Credit Union
2000,624,Illiana Financial Credit Union
2000,778,Midwest America Federal Credit Union
2000,965,Resource One Credit Union
2000,576,Hawaii State Federal Credit Union
2000,94,Arizona Federal Credit Union
2000,575,Hawaii Schools Federal Credit Union
2000,384,Evolve Federal Credit Union
2000,577,HawaiiUSA Federal Credit Union
2000,1076,Sunmark Federal Credit Union
2000,903,Pearl Harbor Federal Credit Union
2000,703,Logix Federal Credit Union
2000,559,HORIZONS FEDERAL CREDIT UNION
2000,261,Citadel Federal Credit Union
2000,1121,Tucson Federal Credit Union
2000,657,Kern Schools Federal Credit Union
2000,1039,South Jersey Federal Credit Union
2000,804,NORTH ISLAND FINANCIAL CREDIT UNION
2000,750,Member One Federal Credit Union
2000,660,Kinecta Federal Credit Union
2000,1211,Western Sun Federal Credit Union
2000,494,GCS Federal Credit Union
2000,1071,Summit Federal Credit Union
2000,653,Kellogg Community Federal Credit Union
2000,1152,United Southeast Federal Credit Union
2000,115,BEAVER VALLEY FEDERAL CREDIT UNION
2000,1006,Sac Federal Credit Union
2000,412,Family First Federal Credit Union
2000,516,Glass City Federal Credit Union
2000,814,Navy Federal Credit Union
2000,652,Keesler Federal Credit Union
2000,572,Harvesters Federal Credit Union
2000,90,Andrews Federal Credit Union
2000,858,ORNL Federal Credit Union
2000,58,Alaska USA Federal Credit Union
2000,1073,Sun East Federal Credit Union
2000,971,River Valley Credit Union
2000,330,Dearborn Federal Credit Union
2000,870,One NV Credit Union
2000,758,Merck Sharp & Dohme Federal Credit Union
2000,1174,Ventura County Credit Union
2000,815,Neches Federal Credit Union
2000,751,Members 1st Federal Credit Union
2000,44,Abilene Teachers Federal Credit Union
2000,1221,Y-12 Federal Credit Union
2000,906,People First Federal Credit Union
2000,6,1st Advantage Federal Credit Union
2000,955,Redstone Federal Credit Union
2000,348,Dort Federal Credit Union
2000,189,CBC Federal Credit Union
2000,1117,Truliant Federal Credit Union
2000,1214,White Sands Federal Credit Union
2000,112,BANK @LANTEC FIN FED CREDIT UNION
2000,1087,Teachers Federal Credit Union
2000,893,Pacific Marine Credit Union
2000,511,Genco Federal Credit Union
2000,421,Finance Center Federal Credit Union
2000,229,Capital Communications Federal Credit Union
2000,1009,SafeAmerica Credit Union
2000,341,Direct Federal Credit Union
2000,565,Hanscom Federal Credit Union
2000,665,L&N Federal Credit Union
2000,1223,Yolo Federal Credit Union
2000,974,Robins Federal Credit Union
2000,371,Eglin Federal Credit Union
2000,392,FIRST CHARTER FEDERAL CREDIT UNION
2000,743,McCoy Federal Credit Union
2000,583,Heritage Trust Federal Credit Union
2000,984,SAFE Federal Credit Union
2000,741,Max Federal Credit Union
2000,1160,University Of HI Federal Credit Union
2000,1163,Utah Community Credit Union
2000,1125,Tyndall Federal Credit Union
2000,96,Arkansas Federal Credit Union
2000,1020,Security Service Federal Credit Union
2000,1025,Shreveport Federal Credit Union
2000,1014,Sandia Area Federal Credit Union
2000,414,Family Trust Federal Credit Union
2000,358,ENT Federal Credit Union
2000,163,Bay Federal Credit Union
2000,255,Chartway Federal Credit Union
2000,15,ABNB Federal Credit Union
2000,1166,VISTA FEDERAL CREDIT UNION
2000,1180,Virginia Beach Schools Federal Credit Union
2000,339,Diamond Valley Federal Credit Union
2000,782,Mission Federal Credit Union
2000,570,Hartford Federal Credit Union
2000,42,ASI Federal Credit Union
2000,918,Pinnacle Federal Credit Union
2000,739,Matadors Community Credit Union
2000,771,Mid-Hudson Valley Federal Credit Union
2000,582,Heritage Federal Credit Union
2000,1186,WARRICK FEDERAL CREDIT UNION
2000,912,Peoples Federal Credit Union
2000,1207,West VA Federal Credit Union
2000,947,RIA Federal Credit Union
2000,1131,USAlliance Federal Credit Union
2000,1069,Suffolk Federal Credit Union
2000,275,Coastal Federal Credit Union
2000,770,Mid-Atlantic Federal Credit Union
2000,323,Cross Valley Federal Credit Union
2000,1090,Teg Federal Credit Union
2000,1133,UT Federal Credit Union
2000,73,AmeriChoice Federal Credit Union
2000,483,Franklin Mint Federal Credit Union
2000,1220,Xceed Financial Federal Credit Union
2000,1176,Verity Credit Union
2000,114,BEACH MUNICIPAL FED CREDIT UNION
2000,647,Johns Hopkins Federal Credit Union
2000,282,Colorado Credit Union
2000,212,CPM Federal Credit Union
2000,498,GPO Federal Credit Union
2000,72,AmeriCU Credit Union
2000,773,MidFlorida Credit Union
2000,766,Michigan State University Federal Credit Union
2000,340,Digital Federal Credit Union
2000,794,Mutual Security Credit Union
2000,848,Notre Dame Federal Credit Union
2000,479,Founders Federal Credit Union
2000,1161,University Of KY Federal Credit Union
2000,1092,Telcoe Federal Credit Union
2000,1034,Somerset Federal Credit Union
2000,836,NorthCountry Federal Credit Union
2000,1217,Wings Financial Credit Union
2000,589,Hiway Federal Credit Union
2000,1011,San Antonio Federal Credit Union
2000,170,Bellco Credit Union
2000,335,Denver Community Credit Union
2000,59,Allegacy Federal Credit Union
2000,1103,Tinker Federal Credit Union
2000,1201,Webster First Federal Credit Union
2000,533,Greylock Federal Credit Union
2000,361,ESL Federal Credit Union
2000,1096,Texar Federal Credit Union
2000,1198,Water & Power Community Credit Union
2000,753,Members Credit Union
2000,1196,Washington State Employees Credit Union
2000,496,GECU Of El Paso
2000,1081,TCU Teachers Credit Union
2000,317,Credit Union Of America
2000,74,America First Credit Union
2000,543,Gulf Winds Federal Credit Union
2000,1003,SUNSHINE STATE CREDIT UNION
2000,92,Anoka Hennepin Credit Union
2000,792,Municipal Credit Union
2000,254,Charlotte Metro Credit Union
2000,525,Great Lakes Credit Union
2000,1061,State Employees Credit Union
2000,269,City & County Credit Union
2000,844,Northwest Community Credit Union
2000,615,IH MS Valley Credit Union
2000,1203,Weokie Credit Union Foundation
2000,1056,St Louis Community Credit Union
2000,423,Financial Center Credit Union
2000,103,Associated Credit Union
2000,298,Community Trust Credit Union
2000,1123,Tulsa Teachers Credit Union
2000,1122,Tulsa Federal Employees Credit Union
2000,899,Patelco Credit Union
2000,413,Family Security Credit Union
2000,291,Commonwealth Credit Union
2000,937,Public Service Credit Union
2000,98,Arrowhead Credit Union
2000,411,Family Credit Union
2000,220,California Credit Union
2000,956,Redwood Credit Union
2000,1019,Scott Credit Union
2000,824,New Horizons Credit Union
2000,1132,USE CREDIT UNION
2000,230,Capital Credit Union
2000,304,Consumers Professional Credit Union
2000,754,Members First Credit Union
2000,250,Chaco Credit Union Inc
2000,1013,San Diego Metropolitan Credit Union
2000,1012,San Diego County Credit Union
2000,1165,VALLEY CREDIT UNION
2000,1022,Seven Seventeen Credit Union
2000,326,DEERE HARVESTER CREDIT UNION
2000,438,First FL Credit Union
2000,650,Kalsee Credit Union
2000,325,Cyprus Credit Union
2000,852,Numark Credit Union
2000,475,Florida Telco Credit Union
2000,654,Kemba Credit Union Inc
2000,519,Golden 1 Credit Union
2000,441,First Federal Credit Union
2000,320,Credit Union One
2000,749,Melrose Credit Union
2000,752,Members Choice Credit Union
2000,681,Lake Trust Credit Union
2000,499,GRAND RAPIDS FEDERAL EMP CRDT UN
2000,1088,Team One Credit Union
2000,303,Consumers Credit Union
2000,862,Oklahoma Central Credit Union
2000,522,Goldenwest Credit Union
2000,789,Mountain America Credit Union
2000,469,Firstmark Credit Union
2000,679,Lake MI Credit Union
2000,182,Boulder Valley Credit Union
2000,177,Boeing Employees Credit Union
2000,688,Landmark Credit Union
2000,948,RIVERSIDE COUNTY CREDIT UNION
2000,759,Meridian Credit Union Ltd
2000,54,Affinity Credit Union
2000,1093,Telhio Credit Union Inc
2000,191,CENTRAL CREDIT UNION
2000,93,Arizona Central Credit Union
2000,424,Financial Plus Credit Union
2000,279,Collins Credit Union
2000,1070,Summit Credit Union
2000,702,Listerhill Credit Union
2000,1158,University Credit Union
2000,988,SELCO MORTGAGE CO LLC
2000,178,Boeing Wichita Credit Union
2000,1154,Unitus Community Credit Union
2000,294,Community Credit Union
2000,1091,Telco Community Credit Union
2000,700,Linn Area Credit Union
2000,574,Hawaii Central Credit Union
2000,62,Alliance Credit Union
2000,1057,St Marys Bank
2000,362,EXCELSIOR CREDIT UNION
2000,351,Dupaco Community Credit Union
2000,742,Mazuma Credit Union
2000,892,PSECU PA State Employee Credit Union
2000,319,Credit Union Of Denver
2000,350,DuTrac Community Credit Union
2000,1137,Uncle Credit Union
2000,318,Credit Union Of CO
2000,293,Community Choice Credit Union
2000,1156,Universal 1 Credit Union Inc
2000,1074,SunWest Educational Credit Union
2000,992,SOUTH DIV CREDIT UNION
2000,338,Dexter Credit Union
2000,873,Oregon Community Credit Union
2000,911,Peoples Credit Union
2000,315,Credit Union 1
2000,1115,TruMark Financial Credit Union
2000,1219,Wright-Patt Credit Union Inc
2000,986,SECU Credit Union
2000,1036,Sound Credit Union
2000,628,Industrial Credit Union
2000,934,Provident Credit Union
2000,765,Metro Credit Union
2000,567,Harborstone Credit Union
2000,370,Educators Credit Union
2000,1134,UW Credit Union
2000,993,SOUTHERN SELECT CREDIT UNION
2000,219,California Coast Credit Union
2000,924,Point Breeze Credit Union
2000,532,Greenwood Credit Union
2000,313,Coventry Credit Union
2000,539,Guardian Credit Union
2000,295,Community First Credit Union
2000,920,Pioneer Credit Union
2000,201,COASTWAY CREDIT UNION
2000,694,Leominster Credit Union
2000,1205,Wescom Credit Union
2000,756,Members Plus Credit Union
2000,480,Fox Communities Credit Union
2000,435,First Community Credit Union
2000,485,Freedom Credit Union
2000,5,1ST SECURITY CREDIT UNION
2000,981,Royal Credit Union
2000,328,Day Air Credit Union
2000,1181,Virginia Credit Union
2000,524,Granite Credit Union
2000,278,Code Credit Union
2000,853,Numerica Credit Union
2000,607,Horizon Credit Union
2000,376,Enterprise Credit Union
2000,578,Hawthorne Credit Union
2000,1162,Utah Central Credit Union
2000,336,Deseret First Credit Union
2000,997,STATE CENTRAL CREDIT UNION
2000,967,Rhode Island Credit Union
2000,902,Pawtucket Credit Union
2000,1051,Space Coast Credit Union
2000,377,Envision Credit Union
2000,129,BROCKTON CREDIT UNION
2000,566,HarborOne Bank
2000,299,CommunityAmerica Credit Union
2000,473,Florida Central Credit Union
2000,271,City Credit Union
2000,1172,Vantage Credit Union
2000,1023,Sharon Credit Union
2000,356,EECU Credit Union
2000,863,Old Hickory Credit Union
2000,322,Crescent Credit Union
2000,1026,Sierra Central Credit Union
2000,462,First South Credit Union
2000,664,Knoxville TVA Employees Credit Union
2000,369,Eastman Credit Union
2000,284,Columbia Credit Union
2000,1055,Spokane Teachers Credit Union
2000,942,Qualstar Credit Union
2000,518,Global Credit Union
2000,478,Forum Credit Union
2000,168,Belco Community Credit Union
2000,627,Indiana Members Credit Union
2000,243,Centra Credit Union
2000,1086,Tapco Credit Union
2000,474,Florida Commerce Credit Union
2000,1173,Velocity Credit Union
2000,1008,Safe Credit Union
2000,437,First Entertainment Credit Union
2000,1021,Service Credit Union
2000,925,Point Loma Credit Union
2000,1089,Technology Credit Union
2000,223,Campus USA Credit Union
2000,761,Meriwest Credit Union
2000,1018,Schools Financial Credit Union
2000,1168,Valley First Credit Union
2000,215,Cabrillo Credit Union
2000,891,PSCU Inc
2000,410,Fairwinds Credit Union
2000,321,Credit Union West
2000,927,Premier America Credit Union
2000,1112,Travis Credit Union
2000,436,First Credit Union
2000,676,LOS ANGELES FIREMENS CREDIT UNION
2000,57,Alabama Telco Credit Union
2000,729,MORTGAGE USA
2000,1190,WMC MORTGAGE CORP
2000,541,Guild Mortgage Co
2000,66,Ally Financial Inc
2000,51,Advanced Financial Services
2000,744,McCue Mortgage Co
2000,1002,SUNSHINE MORTGAGE CORP
2000,719,MORTGAGE CONCEPTS INC
2000,1188,WINDSOR FINANCIAL MORTGAGE CORP
2000,501,GRAYSTONE MORTGAGE CORP
2000,209,CONSOLIDATED MORTGAGE CO
2000,987,SECURITY MORTGAGE SERVICES INC
2000,360,EQUITY FINANCIAL
2000,724,MORTGAGE NOW INC
2000,181,Bombardier Inc
2000,854,ONE SOURCE MORTGAGE CORP
2000,246,Central States Mortgage
2000,819,Network Funding Corp
2000,563,Hamilton Mortgage Co
2000,994,SOUTHLAND MORTGAGE LLC
2000,649,Johnson Mortgage Co Llc
2000,929,Primary Residential Mortgage Inc
2000,394,FIRST CITY FUNDING
2000,722,MORTGAGE HOUSE INC
2000,126,BRIDGE CAPITAL CORP
2000,211,CONTINENTAL MORTGAGE CORP USA
2000,23,ALL FUND MORTGAGE
2000,316,Credit Union National Assn Inc
2000,731,MORTGAGEIT INC
2000,127,BRISTOL FINANCIAL GROUP INC
2000,556,HOMESTAR INDUSTRIES INC
2000,420,Finance America Llc
2000,850,Novastar Mortgage Inc
2000,1192,WR Starkey Mortgage Co
2000,995,STANDARD MORTGAGE CORP
2000,364,Eagle Home Mortgage
2000,1109,Towne Mortgage Co
2000,497,GERSHMAN MORTGAGE
2000,644,James B Nutter & Co
2000,878,PARAMOUNT MORTGAGE CO
2000,881,PHH Corp
2000,847,Nothnagle Home Sercurities Corp
2000,1078,Syracuse Securities Inc
2000,787,Morgan Stanley
2000,728,MORTGAGE STORE
2000,768,Mid America Mortgage Inc
2000,21,AEGIS LENDING CORP
2000,545,HARRY MORTGAGE CO
2000,776,Midland Mortgage Corp
2000,1171,Vanderbilt Mortgage & Finance Inc
2000,939,PulteGroup Inc
2000,949,ROCKY MTN MORTGAGE LTD
2000,227,Capital Center Llc
2000,991,SOUND MORTGAGE GROUP
2000,493,GATEWAY MORTGAGE
2000,1194,Wallick & Volk Inc
2000,554,HOMEGOLD INC
2000,502,GREAT ATLANTIC MORTGAGE
2000,205,COMMUNITY LENDING SERVICES
2000,999,STUART-WRIGHT MORTGAGE INC
2000,788,Mortgage Group Inc
2000,400,FIRST NATIONAL MORTGAGE
2000,985,SCME MORTGAGE BANKERS INC
2000,188,CASTLE MORTGAGE
2000,203,COMMONFUND MORTGAGE CORP
2000,1027,Sierra Pacific Mortgage Co Inc
