,respondentname,parentname,hmda_id,advertiser,parent,advertiser_id,score
19.0,FIRST NATIONAL BANK OF OMAHA,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,First National Bank Of AK,First National Bank Of AK,46088.0,86.94500604056489
20.0,FIRST NATIONAL BANK OF PENNSYL,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,85.97275846710005
21.0,ADAMS COUNTY NATIONAL BANK,ADAMS COUNTY NATIONAL BANK,10000-0000000311,County National Bank,County National Bank,18332.0,81.3050343303765
22.0,FIRST NATIONAL BANK & TRUST CO,FIRST NATIONAL BANK & TRUST CO,10000-0000000324,National B&T Co,National Bank & Trust Co,2726.0,85.2127986089021
23.0,"FNB BANK, N.A.","FNB BANK, N.A.",10000-0000000325,QNB Bank,QNB Bank,70663.0,82.75055755462026
24.0,FIRST TENNESSEE BANK N.A.,FIRST TENNESSEE BANK N.A.,10000-0000000336,,,,
25.0,CAYUGA LAKE NATIONAL BANK,CAYUGA LAKE NATIONAL BANK,10000-0000000412,,,,
26.0,"UNITED BANK, N.A.","UNITED BANK, N.A.",10000-0000000443,United Nebraska Bank,United Ne Bank,34584.0,86.69533509598205
27.0,FIRST NATL BANK OF SUFFIELD,FIRST NATL BANK OF SUFFIELD,10000-0000000497,First National Bank Of Suffield,First National Bank Of Suffield,18885.0,90.46464983441935
28.0,GRUNDY COUNTY NATIONAL BANK,GRUNDY COUNTY NATIONAL BANK,10000-0000000531,County National Bank,County National Bank,18332.0,80.17160684450371
29.0,FIRST NATIONAL BANK OF BERWICK,FIRST NATIONAL BANK OF BERWICK,10000-0000000568,First National Bank Of MI,First National Bank Of MI,171409.0,82.93520505148692
30.0,THE HONESDALE NATIONAL BANK,THE HONESDALE NATIONAL BANK,10000-0000000644,Honesdale National Bank,Honesdale National Bank,1950.0,100.0
31.0,DOWNINGTOWN NATIONAL BANK,DOWNINGTOWN NATIONAL BANK,10000-0000000661,,,,
32.0,NATIONAL GRAND BANK,NATIONAL GRAND BANK,10000-0000000676,National Grand Bank,National Grand Bank,47436.0,100.0
33.0,1ST NATIONAL BK OF LITCHFIELD,1ST NATIONAL BK OF LITCHFIELD,10000-0000000709,First National Bank Of MI,First National Bank Of MI,171409.0,81.13205737943682
34.0,NATIONAL CITY BANK,NATIONAL CITY BANK,10000-0000000786,Accubanc Mortgage Corp,NATIONAL CITY BANK OF IN,2682.0,92.55799041988077
35.0,WAYNE COUNTY NATIONAL BANK,WAYNE COUNTY NATIONAL BANK,10000-0000000828,County National Bank,County National Bank,18332.0,82.31200097187248
36.0,THE CITIZENS NATIONAL BANK,THE CITIZENS NATIONAL BANK,10000-0000000863,Citizens National Bank,Citizens National Bank,947.0,100.0
37.0,THE MILFORD NATIONAL BANK,THE MILFORD NATIONAL BANK,10000-0000000866,Bradford National Bank,Bradford National Bank,17899.0,80.08933536543933
38.0,"NATIONAL CITY BANK, INDIANA","NATIONAL CITY BANK, INDIANA",10000-0000000869,Accubanc Mortgage Corp,NATIONAL CITY BANK OF IN,2682.0,89.62481281637564
39.0,CHAMPAIGN NATIONAL BANK AND TR,CHAMPAIGN NATIONAL BANK AND TR,10000-0000000916,Champlain National Bank,Champlain National Bank,73178.0,82.6162594020676
40.0,"STATE FINANCIAL BANK, NA","STATE FINANCIAL BANK, NA",10000-0000000945,,,,
41.0,BEVERLY NATIONAL BANK,BEVERLY NATIONAL BANK,10000-0000000969,Liberty National Bank,Liberty National Bank,2335.0,81.60036586406143
42.0,PUTNAM COUNTY NATIONAL BANK,PUTNAM COUNTY NATIONAL BANK,10000-0000000976,County National Bank,County National Bank,18332.0,80.95404302343364
43.0,STISSING NATIONAL BANK OF PINE,STISSING NATIONAL BANK OF PINE,10000-0000000981,,,,
44.0,FIRST & OCEAN NATIONAL BANK,FIRST & OCEAN NATIONAL BANK,10000-0000001011,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.35178009685981
45.0,THE LYONS NATIONAL BANK,THE LYONS NATIONAL BANK,10000-0000001027,Lyons National Bank,Lyons National Bank,125880.0,100.0
46.0,FIRST NATIONAL BANK OF GROTON,FIRST NATIONAL BANK OF GROTON,10000-0000001083,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.58857021078265
47.0,"ALLIANCE BANK, N.A.","ALLIANCE BANK, N.A.",10000-0000001090,Alliance Bank,Alliance Bank NA,172.0,100.0
48.0,CENTRAL NATIONAL BANK,CENTRAL NATIONAL BANK,10000-0000001122,Central National Bank,Central National Bank,871.0,100.0
49.0,ROCKPORT NATIONAL BANK,ROCKPORT NATIONAL BANK,10000-0000001194,Rockport National Bank,Rockport National Bank,80239.0,100.0
50.0,FIRST NATIONAL TRUST BANK,FIRST NATIONAL TRUST BANK,10000-0000001237,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,85.05040957699782
51.0,VISTA BANK NA,VISTA BANK NA,10000-0000001239,,,,
52.0,BALLSTON SPA NATIONAL BANK,BALLSTON SPA NATIONAL BANK,10000-0000001253,Ballston Spa National Bank,Ballston Spa National Bank,396.0,100.0
53.0,OCEAN NATIONAL BANK,OCEAN NATIONAL BANK,10000-0000001254,,,,
54.0,THE NATIONAL BANK OF VERNON,THE NATIONAL BANK OF VERNON,10000-0000001264,First Peoples Bank Of Tennessee,NATIONAL BANK OF TN,75605.0,83.29815963277483
55.0,FARMERS & MECHANICS NATL BANK,FARMERS & MECHANICS NATL BANK,10000-0000001267,Farmers & Merchants Bank,Farmers & Merchants Bank,1441.0,81.62160798883627
56.0,PNC BANK NA,PNC BANK NA,10000-0000001316,,,,
57.0,"NBT BANK, NA","NBT BANK, NA",10000-0000001354,MBT Bank,MBT Bank,94439.0,83.01273816777415
58.0,NATIONAL BANK OF COXSACKIE,NATIONAL BANK OF COXSACKIE,10000-0000001398,,,,
59.0,UNITED NATIONAL BANK,UNITED NATIONAL BANK,10000-0000001427,United National Bank,United National Bank,8755.0,100.0
60.0,"CITIBANK, NA","CITIBANK, NA",10000-0000001461,,,,
61.0,WILLIAMSPORT NATIONAL BANK,WILLIAMSPORT NATIONAL BANK,10000-0000001464,,,,
63.0,FIRST SOUTHERN NATIONAL BANK,FIRST SOUTHERN NATIONAL BANK,10000-0000001493,First Southern National Bank,First Southern National Bank,1602.0,100.0
64.0,UNION NATIONAL COMMUNITY BANK,UNION NATIONAL COMMUNITY BANK,10000-0000001516,,,,
65.0,WACHOVIA BANK,WACHOVIA BANK,10000-0000001559,,,,
66.0,NATIONAL BK OF FREDERICKSBURG,NATIONAL BK OF FREDERICKSBURG,10000-0000001582,First National Bank Of Fredericksburg,First National Bank/Fredericksburg,55628.0,82.86555144570998
67.0,UNION NATIONAL BANK,UNION NATIONAL BANK,10000-0000001596,United National Bank,United National Bank,8755.0,85.41424357914119
68.0,"WELLS FARGO BANK, NA","WELLS FARGO BANK, NA",10000-0000001741,,,,
69.0,FIRST NATIONAL BANK SANTA FE,FIRST NATIONAL BANK SANTA FE,10000-0000001750,First Convenience Bank,First National Bank TX,27555.0,85.28089201685677
70.0,BOONE COUNTY NATIONAL BANK,BOONE COUNTY NATIONAL BANK,10000-0000001770,County National Bank,County National Bank,18332.0,81.75772494866636
71.0,FIRST NATIONAL BANK OF SHELBY,FIRST NATIONAL BANK OF SHELBY,10000-0000001929,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.41551283902798
73.0,NATIONAL BANK & TRUST COMPANY,NATIONAL BANK & TRUST COMPANY,10000-0000001997,National B&T Co,National Bank & Trust Co,2726.0,100.0
74.0,"WELLS FARGO BANK MINNESOTA, NA","WELLS FARGO BANK MINNESOTA, NA",10000-0000002006,,,,
75.0,UNION COUNTY NATIONAL BANK,UNION COUNTY NATIONAL BANK,10000-0000002007,Friendly Bremen Bank,Vinton County National Bank,100245.0,88.8327617116635
76.0,COMMUNITY FIRST NATIONAL BANK,COMMUNITY FIRST NATIONAL BANK,10000-0000002030,Community First National Bank,Community First National Bank,1011.0,100.0
77.0,NATIONAL PENN BANK,NATIONAL PENN BANK,10000-0000002137,First Peoples Bank Of Tennessee,NATIONAL BANK OF TN,75605.0,82.60274986618953
78.0,WILBER NATIONAL BANK,WILBER NATIONAL BANK,10000-0000002151,,,,
79.0,FIRST MERCHANTS BANK N A,FIRST MERCHANTS BANK N A,10000-0000002234,First Farmers & Merchants Bank,First Farmers & Merchants Bank,83596.0,82.0692974514835
80.0,"COMMUNITY BANKS, N.A.","COMMUNITY BANKS, N.A.",10000-0000002252,Community Bank,Community Bank,1003.0,95.85612018923514
81.0,"WELLS FARGO BANK IOWA, NA","WELLS FARGO BANK IOWA, NA",10000-0000002307,,,,
82.0,UNION NATIONAL BANK AND TRUST,UNION NATIONAL BANK AND TRUST,10000-0000002333,,,,
83.0,THE CENTREVILLE NATIONAL BANK,THE CENTREVILLE NATIONAL BANK,10000-0000002341,Central National Bank,Central National Bank,871.0,83.49524562692405
84.0,LEBANON CITIZENS NATIONAL BANK,LEBANON CITIZENS NATIONAL BANK,10000-0000002360,,,,
85.0,THE QUAKERTOWN NATIONAL BANK,THE QUAKERTOWN NATIONAL BANK,10000-0000002366,,,,
86.0,WELLS FARGO BANK NORTH DAKOTA,WELLS FARGO BANK NORTH DAKOTA,10000-0000002377,,,,
87.0,CITIZENS FIRST NATIONAL BANK,CITIZENS FIRST NATIONAL BANK,10000-0000002413,Citizens First National Bank,Citizens First National Bank,945.0,100.0
88.0,MERCHANTS NATIONAL BANK,MERCHANTS NATIONAL BANK,10000-0000002449,Merchants National Bank,Merchants National Bank,66264.0,100.0
89.0,FIRST NATIONAL BANK OF WEATHER,FIRST NATIONAL BANK OF WEATHER,10000-0000002477,First National Bank Of Wthrfrd,First National Bank Weatherford,1579.0,93.13568485535629
90.0,SECOND NATIONAL BANK,SECOND NATIONAL BANK,10000-0000002479,,,,
91.0,NATIONAL BANK OF RISING SUN,NATIONAL BANK OF RISING SUN,10000-0000002481,,,,
92.0,EPHRATA NATIONAL BANK,EPHRATA NATIONAL BANK,10000-0000002515,Ephrata National Bank,Ephrata National Bank,73821.0,100.0
93.0,"FIRST MINNESOTA BANK, N.A.","FIRST MINNESOTA BANK, N.A.",10000-0000002571,,,,
94.0,"FIRST SECURITY BANK, NA","FIRST SECURITY BANK, NA",10000-0000002597,1st Security Bank,1st Security Bank Of WA,44219.0,92.21734730313497
95.0,COMMUNITY NATIONAL BANK,COMMUNITY NATIONAL BANK,10000-0000002618,Community National Bank,Community National Bank,1012.0,100.0
97.0,"HORIZON BANK, N.A.","HORIZON BANK, N.A.",10000-0000002747,Horizon Bank,Horizon Bank,1951.0,100.0
98.0,"INTRUST BANK, N.A.","INTRUST BANK, N.A.",10000-0000002782,Intrust Bank,Intrust Bank Na,2072.0,100.0
99.0,THE RIPLEY NATIONAL BANK,THE RIPLEY NATIONAL BANK,10000-0000002837,,,,
101.0,"WELLS FARGO BANK NEBRASKA, NA","WELLS FARGO BANK NEBRASKA, NA",10000-0000002978,,,,
102.0,MIDAMERICAN BANK AND TRUST,MIDAMERICAN BANK AND TRUST,10000-0000003033,,,,
103.0,"BANK ONE, WEST VIRGINIA, NA","BANK ONE, WEST VIRGINIA, NA",10000-0000003106,,,,
104.0,THE SECURITY NATIONAL BANK OF,THE SECURITY NATIONAL BANK OF,10000-0000003124,Security National Bank,Security National,34116.0,86.67058640374776
105.0,THE NATIONAL BANK OF MALVERN,THE NATIONAL BANK OF MALVERN,10000-0000003147,,,,
106.0,"CITIZENS BANK, N.A.","CITIZENS BANK, N.A.",10000-0000003175,Citizens,Citizens Bank,940.0,100.0
107.0,CORNERBANK NA,CORNERBANK NA,10000-0000003218,CornerBank,CornerBank Na,54968.0,100.0
108.0,"WELLS FARGO BANK WEST, NA","WELLS FARGO BANK WEST, NA",10000-0000003269,,,,
109.0,FIRST NATIONAL BANK OF BAIRD,FIRST NATIONAL BANK OF BAIRD,10000-0000003286,First National Bank Of AK,First National Bank Of AK,46088.0,89.47656443000763
110.0,"COMMUNITY FIRST BANK, NA","COMMUNITY FIRST BANK, NA",10000-0000003291,Community First Bank,Community First Bank,1009.0,100.0
111.0,"TEAMBANK, N.A.","TEAMBANK, N.A.",10000-0000003350,,,,
112.0,FIRST NATIONAL BANK OF ANTHONY,FIRST NATIONAL BANK OF ANTHONY,10000-0000003385,1st National Bank Of Arizona,1st National Bank Of AZ,17262.0,85.87384593472794
113.0,THE FIRST NATIONAL BANK IN SIO,THE FIRST NATIONAL BANK IN SIO,10000-0000003393,First National Bank Of MI,First National Bank Of MI,171409.0,88.54382880832335
114.0,FIRST NATIONAL BANK OF BRYAN,FIRST NATIONAL BANK OF BRYAN,10000-0000003446,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,87.33019674207299
115.0,FARMERS NATIONAL BANK,FARMERS NATIONAL BANK,10000-0000003654,Farmers & Mechanics National Bank,Farmers National Bank,1446.0,100.0
116.0,NATIONAL BANK OF COMMERCE,NATIONAL BANK OF COMMERCE,10000-0000003656,IBC Bank,Intl Bank Of Commerce,2066.0,85.0202053229658
117.0,THE ATLANTA NATIONAL BANK,THE ATLANTA NATIONAL BANK,10000-0000003711,Atlanta National Bank,Atlanta National Bank,181175.0,100.0
118.0,FIRST NATIONAL BANK OF OLATHE,FIRST NATIONAL BANK OF OLATHE,10000-0000003720,First Convenience Bank,First National Bank TX,27555.0,87.90936283914034
119.0,FIRST NATIONAL BANK-FOX VALLEY,FIRST NATIONAL BANK-FOX VALLEY,10000-0000003724,First National Bank Fox Valley,First National Bank Fox Valley,159578.0,94.62726220137186
121.0,CANANDAIGUA NATIONAL BANK,CANANDAIGUA NATIONAL BANK,10000-0000003817,,,,
122.0,FIRST NAT'L BANK OF MT PULASKI,FIRST NAT'L BANK OF MT PULASKI,10000-0000003839,,,,
123.0,AMBOY NATIONAL BANK,AMBOY NATIONAL BANK,10000-0000003878,Amboy National Bank,Amboy National Bank,196.0,100.0
124.0,FIRST CHARTER NATIONAL BANK,FIRST CHARTER NATIONAL BANK,10000-0000003903,,,,
125.0,NATIONAL BANK AND TRUST,NATIONAL BANK AND TRUST,10000-0000003906,,,,
126.0,FIRST NATIONAL BANK OF BAR HAR,FIRST NATIONAL BANK OF BAR HAR,10000-0000003941,First National Bank Of AK,First National Bank Of AK,46088.0,83.03255266431279
127.0,BAKER BOYER BANK,BAKER BOYER BANK,10000-0000003956,,,,
128.0,THE LENOX NATIONAL BANK,THE LENOX NATIONAL BANK,10000-0000004013,Canon National Bank,Canon National Bank,91939.0,81.80286527226664
129.0,FNB OF MIFFLINLINTOWN,FNB OF MIFFLINLINTOWN,10000-0000004039,,,,
131.0,FIRST NATIONAL BANK OF BASTROP,FIRST NATIONAL BANK OF BASTROP,10000-0000004093,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,83.57491322898491
132.0,NATIONAL BANK,NATIONAL BANK,10000-0000004097,National Bank At Edwardsville,National Bank,85193.0,100.0
133.0,NATIONAL CAPITAL BANK OF WASH,NATIONAL CAPITAL BANK OF WASH,10000-0000004107,,,,
134.0,FIRST NATIONAL BANK OF ABILENE,FIRST NATIONAL BANK OF ABILENE,10000-0000004166,1st National Bank Of Arizona,1st National Bank Of AZ,17262.0,85.67272646456759
135.0,SUFFOLK COUNTY NATIONAL BANK,SUFFOLK COUNTY NATIONAL BANK,10000-0000004230,,,,
136.0,FIRST NATIONAL BANK OF ATHENS,FIRST NATIONAL BANK OF ATHENS,10000-0000004278,1st National Bank Of Arizona,1st National Bank Of AZ,17262.0,87.88068939448185
138.0,FIRST NATIONAL BANK OF VA,FIRST NATIONAL BANK OF VA,10000-0000004289,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,94.99608069929212
139.0,ZIONS FIRST NATIONAL BANK,ZIONS FIRST NATIONAL BANK,10000-0000004341,Net 1st National Bank,Net 1st National Bank,2758.0,82.45193781505901
141.0,NBC BANK NA,NBC BANK NA,10000-0000004490,NBKC Bank,NBKC Bank,161481.0,91.09741146136304
143.0,THE FIRST NATIONAL BANK OF GOL,THE FIRST NATIONAL BANK OF GOL,10000-0000004565,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,90.19071133975643
144.0,OLD SECOND NATIONAL BANK,OLD SECOND NATIONAL BANK,10000-0000004596,,,,
145.0,"HARRIS BANK BATAVIA, N.A.","HARRIS BANK BATAVIA, N.A.",10000-0000004646,,,,
146.0,FIRST NATIONAL BANK OF CROCKET,FIRST NATIONAL BANK OF CROCKET,10000-0000004684,First National Bank Of AK,First National Bank Of AK,46088.0,82.10066627737471
147.0,"SUNFLOWER BANK, N.A.","SUNFLOWER BANK, N.A.",10000-0000004742,,,,
148.0,THE FIRST NATIONAL BANK OF IPS,THE FIRST NATIONAL BANK OF IPS,10000-0000004774,First National Bank Of MI,First National Bank Of MI,171409.0,92.48722483532494
149.0,"POINTBANK, NA","POINTBANK, NA",10000-0000004777,PointBank,PointBank,120070.0,100.0
150.0,MIDLAND NATIONAL BANK,MIDLAND NATIONAL BANK,10000-0000004860,Midland National Bank,Midland National Bank,2590.0,100.0
151.0,FIRST NATIONAL BANK OF NEWPORT,FIRST NATIONAL BANK OF NEWPORT,10000-0000004917,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,85.97855486222605
152.0,FIRST NATIONAL BANK OF DECATUR,FIRST NATIONAL BANK OF DECATUR,10000-0000004920,First Convenience Bank,First National Bank TX,27555.0,83.09947589659728
153.0,UMB NATIONAL BANK OF AMERICA,UMB NATIONAL BANK OF AMERICA,10000-0000004945,,,,
154.0,FIRST NATIONAL BANK-MANITOWOC,FIRST NATIONAL BANK-MANITOWOC,10000-0000004975,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,81.59407624841663
155.0,THE LAREDO NATIONAL BANK,THE LAREDO NATIONAL BANK,10000-0000005001,Llano National Bank,Llano National Bank,94353.0,82.22945565948756
156.0,RIGGS BANK NA,RIGGS BANK NA,10000-0000005046,,,,
157.0,NAZARETH NATIONAL BANK,NAZARETH NATIONAL BANK,10000-0000005077,Nazareth National B&T,Nazareth National B&T,2750.0,91.02439367531476
159.0,FROST NATIONAL BANK,FROST NATIONAL BANK,10000-0000005179,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,90.64641494578083
160.0,WAGGONER NATIONAL BANK,WAGGONER NATIONAL BANK,10000-0000005203,,,,
162.0,RIDDELL NATIONAL BANK,RIDDELL NATIONAL BANK,10000-0000005267,Riddell National Bank,Riddell National Bank,80204.0,100.0
163.0,CITY NATIONAL BANK,CITY NATIONAL BANK,10000-0000005275,City National Bank,City National Bank,951.0,100.0
165.0,FIRST NATIONAL BANK OF OGDEN,FIRST NATIONAL BANK OF OGDEN,10000-0000005304,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,88.30031253912041
166.0,STILLWATER NATIONAL BANK,STILLWATER NATIONAL BANK,10000-0000005347,,,,
167.0,FIRST NATIONAL BANK OF SONORA,FIRST NATIONAL BANK OF SONORA,10000-0000005466,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,87.1177408765119
169.0,"PEOPLES BANK, NA","PEOPLES BANK, NA",10000-0000005552,Peoples Bank,Peoples Bank,7909.0,100.0
171.0,SANDY SPRING NATIONAL BANK,SANDY SPRING NATIONAL BANK,10000-0000005561,,,,
172.0,"AUSTIN BANK, TEXAS, N.A.","AUSTIN BANK, TEXAS, N.A.",10000-0000005581,,,,
173.0,FIRST NATL BANK OF CHILLICOTHE,FIRST NATL BANK OF CHILLICOTHE,10000-0000005584,,,,
174.0,THE MARS NATIONAL BANK,THE MARS NATIONAL BANK,10000-0000005599,Mars National Bank,Mars National Bank,2504.0,100.0
175.0,HALIFAX NATIONAL BANK,HALIFAX NATIONAL BANK,10000-0000005601,,,,
177.0,"GUARANTY BANK, N.A.","GUARANTY BANK, N.A.",10000-0000005625,,,,
178.0,CENTURY BANK N.A.,CENTURY BANK N.A.,10000-0000005636,Century Bank,Century Bank,875.0,100.0
179.0,FIRST NATIONAL BANK WINNSBORO,FIRST NATIONAL BANK WINNSBORO,10000-0000005674,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,82.74290636889219
180.0,GILMER NATIONAL BANK,GILMER NATIONAL BANK,10000-0000005741,,,,
181.0,FIRST NATIONAL BANK TEXAS,FIRST NATIONAL BANK TEXAS,10000-0000005750,First Convenience Bank,First National Bank TX,27555.0,93.32761857536246
182.0,CITY NATIONAL BANK & TRUST CO.,CITY NATIONAL BANK & TRUST CO.,10000-0000005753,National B&T Co,National Bank & Trust Co,2726.0,86.97463747223195
183.0,"COMMUNITY BANK, NA","COMMUNITY BANK, NA",10000-0000005784,Community Bank,Community Bank,1003.0,100.0
184.0,"RESOURCE BANK, N.A.","RESOURCE BANK, N.A.",10000-0000005815,Resource Bank,Resource Bank,16358.0,100.0
186.0,HOME NATIONAL BANK,HOME NATIONAL BANK,10000-0000005842,Home National Bank,Home National Bank,1938.0,100.0
187.0,FNB OF CENTRAL TEXAS,FNB OF CENTRAL TEXAS,10000-0000005850,,,,
188.0,RAMSEY NATIONAL BANK & TRUST C,RAMSEY NATIONAL BANK & TRUST C,10000-0000005886,,,,
189.0,FIRST NATIONAL BANK OF KEMP,FIRST NATIONAL BANK OF KEMP,10000-0000005932,First National Bank Of MI,First National Bank Of MI,171409.0,91.27904587432874
190.0,EMPRISE BANK NA,EMPRISE BANK NA,10000-0000006120,,,,
191.0,"WELLS FARGO BANK NEW MEXICO,NA","WELLS FARGO BANK NEW MEXICO,NA",10000-0000006187,,,,
193.0,FIRST AMERICAN NATNL BANK,FIRST AMERICAN NATNL BANK,10000-0000006220,First American Bank Of Alabama,FIRST AMERICAN BANK OF AL,10492.0,84.52594681763857
194.0,YORKVILLE NATIONAL BANK,YORKVILLE NATIONAL BANK,10000-0000006239,,,,
195.0,"MELLON BANK, N.A.","MELLON BANK, N.A.",10000-0000006301,,,,
197.0,FIRST NATIONAL BANK SAUK CENTR,FIRST NATIONAL BANK SAUK CENTR,10000-0000006417,First National Bank Of Central TX,First National Bank Of Central TX,27550.0,85.14320648610084
198.0,FNB OF SLIPPERY ROCK,FNB OF SLIPPERY ROCK,10000-0000006483,,,,
199.0,THE JIM THORPE NATIONAL BANK,THE JIM THORPE NATIONAL BANK,10000-0000006534,,,,
201.0,HOBLITZELL NATIONAL BANK,HOBLITZELL NATIONAL BANK,10000-0000006615,,,,
202.0,THE PEOPLES NATIONAL BANK,THE PEOPLES NATIONAL BANK,10000-0000006667,Peoples National Bank,Peoples National Bank,7914.0,100.0
203.0,SIMMONS FIRST NATIONAL BANK,SIMMONS FIRST NATIONAL BANK,10000-0000006680,Metropolitan National Bank,Simmons First National Corp,8317.0,81.3203309652002
204.0,FIRST NAT'L BANK OF ELMER,FIRST NAT'L BANK OF ELMER,10000-0000006707,First National Bank Of Elmer,First National Bank Of Elmer,36772.0,89.3105558231146
205.0,CITIZENS NATIONAL BANK & TRUST,CITIZENS NATIONAL BANK & TRUST,10000-0000006752,Citizens National Bank Of Tennessee,CITIZENS NATIONAL BANK OF TN,35773.0,91.3427724478286
209.0,FIRST NATIONAL BANK OF COWETA,FIRST NATIONAL BANK OF COWETA,10000-0000006879,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.99936407592288
210.0,FIRST NATIONAL BANK OF SUMNER,FIRST NATIONAL BANK OF SUMNER,10000-0000006907,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,87.32214448814733
211.0,FIRST NATIONAL BANK OF RAYMOND,FIRST NATIONAL BANK OF RAYMOND,10000-0000006910,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,85.87964052913986
213.0,"FIRST COMMERCIAL BANK, N.A.","FIRST COMMERCIAL BANK, N.A.",10000-0000006963,First Commercial Bank,First Commercial Bank,1527.0,100.0
214.0,MINERS NATIONAL BANK OF EVELET,MINERS NATIONAL BANK OF EVELET,10000-0000006991,,,,
216.0,THE HERRING NATIONAL BANK,THE HERRING NATIONAL BANK,10000-0000007010,,,,
217.0,"COMMUNITY TRUST BANK, N. A.","COMMUNITY TRUST BANK, N. A.",10000-0000007030,Community West Bank,Community West Bank NA,36120.0,85.98801600263798
219.0,CITIZENS NAT'L BANK,CITIZENS NAT'L BANK,10000-0000007051,Citizens National Bank,Citizens National Bank,947.0,89.21654671534921
220.0,FIRST NAT BANK OF NORTH EAST,FIRST NAT BANK OF NORTH EAST,10000-0000007064,,,,
221.0,FIRST NATIONAL BANK OF RIVER F,FIRST NATIONAL BANK OF RIVER F,10000-0000007087,First National Bank Of Nevada,FIRST NATIONAL BANK OF NV,45868.0,85.15008710218014
226.0,1ST. NAT'L BANK OF MARYSVILLE,1ST. NAT'L BANK OF MARYSVILLE,10000-0000007353,,,,
227.0,FIRST COMMERCE BANK,FIRST COMMERCE BANK,10000-0000007431,First Commercial Bank,First Commercial Bank,1527.0,87.66943479766857
